Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Tam Nguyen,competitions-view?id=923,Tam Nguyen,1995,09/15/2015,USAPL Warrior Closed,1.,R-JR,-43,42.80,60,70,75,25,35,,65,75,85,195,279.59
Jenny Lee,competitions-view?id=1354,Jenny Lee,1994,10/13/2016,Raw Nationals 2016,5.,R-O,-52,51.25,127.5,135,140,67.5,72.5,75,127.5,-132.5,132.5,347.5,438.09
Jenny Lee,competitions-view?id=1232,Jenny Lee,1994,05/21/2016,Philadelphia Freedom Championship,1.,R-JR,-52,51.20,122.5,130,-135,65,67.5,70,125,132.5,137.5,337.5,425.79
Maranda Geist,competitions-view?id=1354,Maranda Geist,1993,10/13/2016,Raw Nationals 2016,2.,R-JR,-52,51.05,110,117.5,120,57.5,62.5,67.5,127.5,135,-142.5,322.5,407.80
Maranda Geist,competitions-view?id=1301,Maranda Geist,1993,08/15/2016,14th Annual North American Championships,1.,R-JR,-52,51.10,107.5,115,-122.5,57.5,62.5,65,122.5,130,140,320,404.32
Maranda Geist,competitions-view?id=1006,Maranda Geist,1993,11/21/2015,AZ Fall Championships,1.,R-JR,-52,51.60,90,95,100,47.5,52.5,-57.5,100,110,122.5,275,344.88
Maranda Geist,competitions-view?id=992,Maranda Geist,1993,10/15/2015,2015 Raw Nationals,5.,R-JR,-52,50.70,92.5,97.5,102.5,50,55,60,100,107.5,117.5,280,355.91
Maranda Geist,competitions-view?id=906,Maranda Geist,1993,06/27/2015,USAPL NorCal Open,1.,R-JR,-52,47.20,90,97.5,105,47.5,52.5,55,90,95,105,265,355.31
Kayla Johnson,competitions-view?id=1354,Kayla Johnson,1995,10/13/2016,Raw Nationals 2016,3.,R-JR,-52,51.18,-110,110,115,65,67.5,70,117.5,120,125,310,391.22
Kayla Johnson,competitions-view?id=1249,Kayla Johnson,1995,06/04/2016,2016 North Carolina State Championships,1.,R-O,-52,50.90,102.5,110,112.5,65,-72.5,-72.5,115,122.5,-125,300,380.19
Kayla Johnson,competitions-view?id=1149,Kayla Johnson,1995,03/19/2016,USA Powerlifting Battle on the Border X,1.,R-O,-52,51.60,100,105,-110,60,67.5,70,110,117.5,120,295,369.96
Kayla Johnson,competitions-view?id=1001,Kayla Johnson,1995,11/07/2015,USAPL Fall Festival of Power,1.,R-JR,-47,46.90,92.5,-102.5,110,57.5,62.5,-67.5,100,105,-110,277.5,373.79
Kayla Johnson,competitions-view?id=793,Kayla Johnson,1995,03/21/2015,Battle on the Border IX,1.,R-T3,-47,47.00,85,,,62.5,,,100,,,247.5,332.86
Taylor Ulery,competitions-view?id=1354,Taylor Ulery,1994,10/13/2016,Raw Nationals 2016,4.,R-JR,-52,51.86,100,112.5,115,57.5,62.5,67.5,95,110,112.5,295,368.51
Taylor Ulery,competitions-view?id=1182,Taylor Ulery,1994,04/14/2016,2016 USA Powerlifting Collegiate Nationals,4.,R-C,-52,51.80,92.5,102.5,-107.5,55,-60,60,87.5,102.5,110,272.5,340.73
Taylor Ulery,competitions-view?id=1111,Taylor Ulery,1994,02/20/2016,USA Powerlifting 2016 Richmond Open,1.,R-JR,-52,51.40,92.5,-102.5,-102.5,52.5,57.5,60,85,97.5,105,257.5,323.88
Jessica Kallie,competitions-view?id=1354,Jessica Kallie,1993,10/13/2016,Raw Nationals 2016,5.,R-JR,-52,51.88,102.5,-105,-105,50,55,-57.5,115,120,-127.5,277.5,346.57
