Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Amanda Feist,competitions-view?id=992,Amanda Feist,0000,10/15/2015,2015 Raw Nationals,8.,R-JR,-52,50.50,80,85,-87.5,42.5,45,47.5,120,127.5,-140,260,331.50
Amanda Feist,competitions-view?id=841,Amanda Feist,0000,04/25/2015,2015 USAPL Texas State Championships,1.,R-JR,-52,50.40,77.5,82.5,90,40,42.5,45,120,127.5,137.5,272.5,347.96
Tiffany Rohrer,competitions-view?id=992,Tiffany Rohrer,1994,10/15/2015,2015 Raw Nationals,10.,R-JR,-52,50.10,87.5,92.5,-100,47.5,52.5,55,97.5,107.5,-112.5,255,327.09
Tiffany Rohrer,competitions-view?id=888,Tiffany Rohrer,1994,08/01/2015,New Jersey State Championships,3.,R-JR,-52,47.60,75,85,-95,42.5,50,-52.5,92.5,100,-105,235,313.16
Tiffany Rohrer,competitions-view?id=1612,Tiffany Rohrer,1994,04/11/2015,2015 Equinox Open,1.,R-O,-52,50.60,85,87.5,92.5,47.5,50,-52.5,92.5,100,-107.5,242.5,308.70
Tiffany Rohrer,competitions-view?id=752,Tiffany Rohrer,1994,12/12/2014,American Open,1.,R-JR,-52,48.50,,,,47.5,,,100,,,147.5,193.86
Tiffany Rohrer,competitions-view?id=381,Tiffany Rohrer,1994,04/12/2014,2014 Equinox Open,1.,R-T3,-48,47.30,,,,45,,,92.5,,,137.5,184.07
Taylor Coghlan,competitions-view?id=992,Taylor Coghlan,0000,10/15/2015,2015 Raw Nationals,11.,R-JR,-52,49.70,75,85,-90,47.5,52.5,-57.5,105,-117.5,-117.5,242.5,312.95
Taylor Coghlan,competitions-view?id=873,Taylor Coghlan,0000,08/29/2015,2015 Great Lakes Sports Festival USAPL Pro Raw Deadlift,1.,R-O,-52,50.80,,,,,,,100,-115,122.5,122.5,155.48
Taylor Coghlan,competitions-view?id=1055,Taylor Coghlan,0000,07/12/2015,2015 USAPL Ohio State Championships,3.,R-O,-52,49.30,65,77.5,-85,37.5,45,50,90,105,-117.5,232.5,301.88
